Weekend_Dates,Days,Movie_Name,Revenue,Viewers,Shows,Average_Revenue_Per_Show,Average_Viewers_Per_Show,Revenue_Share,Shows_Share
26.03 - 29.03.2020,3,Тролли. Мировой тур,2673231,13937,2827,945,4,27.61%,31.15%
26.03 - 29.03.2020,3,Бладшот,1434981,6115,1174,1222,5,14.82%,12.94%
26.03 - 29.03.2020,3,Джентльмены,1013955,4100,669,1515,6,10.47%,7.37%
26.03 - 29.03.2020,3,Отдай свою душу,827829,3369,602,1375,5,8.55%,6.63%
26.03 - 29.03.2020,3,"Отель ""Белград""",717472,3340,723,992,4,7.41%,7.97%
26.03 - 29.03.2020,3,Человек-невидимка,547795,2382,397,1379,6,5.66%,4.38%
26.03 - 29.03.2020,3,Туннель: опасно для жизни,458814,1800,310,1480,5,4.74%,3.42%
26.03 - 29.03.2020,3,Вперед,371177,2084,499,743,4,3.83%,5.50%
26.03 - 29.03.2020,3,Кукла 2: Брамс,285238,1357,258,1105,5,2.95%,2.84%
26.03 - 29.03.2020,3,Верю в любовь,227835,1061,294,774,3,2.35%,3.24%
26.03 - 29.03.2020,3,Страшные истории для рассказа у костра,42077,171,56,751,3,0.43%,0.62%
26.03 - 29.03.2020,3,HUMAN LOST: Исповедь неполноценного человека,46864,230,80,585,2,0.48%,0.88%
26.03 - 29.03.2020,3,Холоп,69948,318,83,842,3,0.72%,0.91%
26.03 - 29.03.2020,3,Удивительное путешествие Доктора Дулиттла,80142,432,108,742,4,0.83%,1.19%
26.03 - 29.03.2020,3,Зов предков,80818,442,90,897,4,0.83%,0.99%
26.03 - 29.03.2020,3,Соник в кино,88153,512,119,740,4,0.91%,1.31%
26.03 - 29.03.2020,3,Номер 1,118586,566,208,570,2,1.22%,2.29%
26.03 - 29.03.2020,3,Лёд 2,188394,932,231,815,4,1.95%,2.55%
26.03 - 29.03.2020,3,Остров фантазий,202463,936,155,1306,6,2.09%,1.71%
26.03 - 29.03.2020,3,Афера в Майами,206537,795,191,1081,4,2.13%,2.10%
19.03 - 22.03.2020,3,Тролли. Мировой тур,95482778,428048,33109,2883,12,39.13%,35.42%
19.03 - 22.03.2020,3,Бладшот,42189760,153689,14379,2934,10,17.29%,15.38%
19.03 - 22.03.2020,3,Джентльмены,20925393,68904,4433,4720,15,8.58%,4.74%
19.03 - 22.03.2020,3,"Отель ""Белград""",18623906,73327,7096,2624,10,7.63%,7.59%
19.03 - 22.03.2020,3,Человек-невидимка,11232100,41445,3227,3480,12,4.60%,3.45%
19.03 - 22.03.2020,3,Вперед,9201545,43394,5562,1654,7,3.77%,5.95%
19.03 - 22.03.2020,3,Афера в Майами,8017217,22529,2497,3210,9,3.29%,2.67%
19.03 - 22.03.2020,3,Верю в любовь,6685883,25394,4098,1631,6,2.74%,4.38%
19.03 - 22.03.2020,3,Кукла 2: Брамс,6288628,25507,2899,2169,8,2.58%,3.10%
19.03 - 22.03.2020,3,Номер 1,5783071,21797,4785,1208,4,2.37%,5.12%
19.03 - 22.03.2020,3,Счастье в конверте,719675,3423,831,866,4,0.29%,0.89%
19.03 - 22.03.2020,3,ОДИН ВДОХ,1018475,4218,828,1230,5,0.42%,0.89%
19.03 - 22.03.2020,3,Мой друг Мистер Персиваль,1086545,4711,933,1164,5,0.45%,1.00%
19.03 - 22.03.2020,3,Пиноккио,1266604,5431,1007,1257,5,0.52%,1.08%
19.03 - 22.03.2020,3,Зов предков,1368387,6180,603,2269,10,0.56%,0.65%
19.03 - 22.03.2020,3,Тайная жизнь,1524494,4906,918,1660,5,0.62%,0.98%
19.03 - 22.03.2020,3,Соник в кино,1693644,8853,1160,1460,7,0.69%,1.24%
19.03 - 22.03.2020,3,Удивительное путешествие Доктора Дулиттла,2052754,9555,1241,1654,7,0.84%,1.33%
19.03 - 22.03.2020,3,Лёд 2,4328435,19021,2235,1936,8,1.77%,2.39%
19.03 - 22.03.2020,3,Остров фантазий,4511370,17786,1645,2742,10,1.85%,1.76%
26.03 - 29.03.2020,3,Тролли. Мировой тур,2673231,13937,2827,945,4,27.61%,31.15%
26.03 - 29.03.2020,3,Бладшот,1434981,6115,1174,1222,5,14.82%,12.94%
26.03 - 29.03.2020,3,Джентльмены,1013955,4100,669,1515,6,10.47%,7.37%
26.03 - 29.03.2020,3,Отдай свою душу,827829,3369,602,1375,5,8.55%,6.63%
26.03 - 29.03.2020,3,"Отель ""Белград""",717472,3340,723,992,4,7.41%,7.97%
26.03 - 29.03.2020,3,Человек-невидимка,547795,2382,397,1379,6,5.66%,4.38%
26.03 - 29.03.2020,3,Туннель: опасно для жизни,458814,1800,310,1480,5,4.74%,3.42%
26.03 - 29.03.2020,3,Вперед,371177,2084,499,743,4,3.83%,5.50%
26.03 - 29.03.2020,3,Кукла 2: Брамс,285238,1357,258,1105,5,2.95%,2.84%
26.03 - 29.03.2020,3,Верю в любовь,227835,1061,294,774,3,2.35%,3.24%
26.03 - 29.03.2020,3,Страшные истории для рассказа у костра,42077,171,56,751,3,0.43%,0.62%
26.03 - 29.03.2020,3,HUMAN LOST: Исповедь неполноценного человека,46864,230,80,585,2,0.48%,0.88%
26.03 - 29.03.2020,3,Холоп,69948,318,83,842,3,0.72%,0.91%
26.03 - 29.03.2020,3,Удивительное путешествие Доктора Дулиттла,80142,432,108,742,4,0.83%,1.19%
26.03 - 29.03.2020,3,Зов предков,80818,442,90,897,4,0.83%,0.99%
26.03 - 29.03.2020,3,Соник в кино,88153,512,119,740,4,0.91%,1.31%
26.03 - 29.03.2020,3,Номер 1,118586,566,208,570,2,1.22%,2.29%
26.03 - 29.03.2020,3,Лёд 2,188394,932,231,815,4,1.95%,2.55%
26.03 - 29.03.2020,3,Остров фантазий,202463,936,155,1306,6,2.09%,1.71%
26.03 - 29.03.2020,3,Афера в Майами,206537,795,191,1081,4,2.13%,2.10%
19.03 - 22.03.2020,3,Тролли. Мировой тур,95482778,428048,33109,2883,12,39.13%,35.42%
19.03 - 22.03.2020,3,Бладшот,42189760,153689,14379,2934,10,17.29%,15.38%
19.03 - 22.03.2020,3,Джентльмены,20925393,68904,4433,4720,15,8.58%,4.74%
19.03 - 22.03.2020,3,"Отель ""Белград""",18623906,73327,7096,2624,10,7.63%,7.59%
19.03 - 22.03.2020,3,Человек-невидимка,11232100,41445,3227,3480,12,4.60%,3.45%
19.03 - 22.03.2020,3,Вперед,9201545,43394,5562,1654,7,3.77%,5.95%
19.03 - 22.03.2020,3,Афера в Майами,8017217,22529,2497,3210,9,3.29%,2.67%
19.03 - 22.03.2020,3,Верю в любовь,6685883,25394,4098,1631,6,2.74%,4.38%
19.03 - 22.03.2020,3,Кукла 2: Брамс,6288628,25507,2899,2169,8,2.58%,3.10%
19.03 - 22.03.2020,3,Номер 1,5783071,21797,4785,1208,4,2.37%,5.12%
19.03 - 22.03.2020,3,Счастье в конверте,719675,3423,831,866,4,0.29%,0.89%
19.03 - 22.03.2020,3,ОДИН ВДОХ,1018475,4218,828,1230,5,0.42%,0.89%
19.03 - 22.03.2020,3,Мой друг Мистер Персиваль,1086545,4711,933,1164,5,0.45%,1.00%
19.03 - 22.03.2020,3,Пиноккио,1266604,5431,1007,1257,5,0.52%,1.08%
19.03 - 22.03.2020,3,Зов предков,1368387,6180,603,2269,10,0.56%,0.65%
19.03 - 22.03.2020,3,Тайная жизнь,1524494,4906,918,1660,5,0.62%,0.98%
19.03 - 22.03.2020,3,Соник в кино,1693644,8853,1160,1460,7,0.69%,1.24%
19.03 - 22.03.2020,3,Удивительное путешествие Доктора Дулиттла,2052754,9555,1241,1654,7,0.84%,1.33%
19.03 - 22.03.2020,3,Лёд 2,4328435,19021,2235,1936,8,1.77%,2.39%
19.03 - 22.03.2020,3,Остров фантазий,4511370,17786,1645,2742,10,1.85%,1.76%
12.03 - 15.03.2020,3,Бладшот,173154259,601005,29921,5787,20,30.92%,24.31%
12.03 - 15.03.2020,3,Вперед,83679955,362228,18508,4521,19,14.94%,15.03%
12.03 - 15.03.2020,3,"Отель ""Белград""",83617037,321891,18844,4437,17,14.93%,15.31%
12.03 - 15.03.2020,3,Джентльмены,57410636,181501,6610,8685,27,10.25%,5.37%
12.03 - 15.03.2020,3,Человек-невидимка,40712758,144338,9142,4453,15,7.27%,7.43%
12.03 - 15.03.2020,3,Лёд 2,21973035,91359,4666,4709,19,3.92%,3.79%
12.03 - 15.03.2020,3,Кукла 2: Брамс,21053703,80211,7263,2898,11,3.76%,5.90%
12.03 - 15.03.2020,3,Остров фантазий,20947799,77275,6395,3275,12,3.74%,5.19%
12.03 - 15.03.2020,3,Пиноккио,10444742,39620,3297,3167,12,1.87%,2.68%
12.03 - 15.03.2020,3,Удивительное путешествие Доктора Дулиттла,10388763,47782,3188,3258,14,1.86%,2.59%
12.03 - 15.03.2020,3,Калашников,603833,3165,259,2331,12,0.11%,0.21%
12.03 - 15.03.2020,3,Паразиты,792122,2939,177,4475,16,0.14%,0.14%
