title,release_date_uais,magic_number,profit_uais,type_uais,age_restriction
1915,,121009015.0,636862.5,художественный,«16+» для детей старше 16 лет
007: СПЕКТР,Thu Jun 11 2015 00:00:00 GMT+0300 (MSK),121021715.0,766568402.9,художественный,«16+» для детей старше 16 лет
10 000 км: Любовь на расстоянии,,121011815.0,43660.0,художественный,«18+» запрещено для детей
12 месяцев. Новая сказка,,111014414.0,32181630.0,художественный,«0+» для любой зрительской аудитории
128 ударов сердца в минуту,Mon Mar 09 2015 00:00:00 GMT+0300 (MSK),121016715.0,36448738.3,художественный,«18+» запрещено для детей
14+,Mon Aug 10 2015 00:00:00 GMT+0300 (MSK),111023614.0,10116656.1,художественный,«16+» для детей старше 16 лет
3 сердца,,121026914.0,1774270.5,художественный,«16+» для детей старше 16 лет
45 лет,Thu Mar 12 2015 00:00:00 GMT+0300 (MSK),121023915.0,508290.0,художественный,«16+» для детей старше 16 лет
7-ой гном 3D,,124002314.0,188845.0,анимационный,«6+» для детей старше шести лет
8 новых свиданий,Thu Jan 01 2015 00:00:00 GMT+0300 (MSK),111014914.0,393305425.3,художественный,«12+» для детей старше 12 лет
Citizenfour: Правда Сноудена,Mon Sep 07 2015 00:00:00 GMT+0300 (MSK),126002315.0,9616976.0,другой,«16+» для детей старше 16 лет
Kingsman: Секретная служба,Wed Dec 02 2015 00:00:00 GMT+0300 (MSK),121029514.0,566924625.9,художественный,«18+» запрещено для детей
No comment,,111008415.0,210538.0,художественный,«16+» для детей старше 16 лет
OSCAR SHORTS 2015. ФИЛЬМЫ,,121007715.0,1300200.0,художественный,«16+» для детей старше 16 лет
Queen. Live in Budapest 1986,,126002712.0,329526.0,другой,«0+» для любой зрительской аудитории
Queen. Rock Montreal,,126000115.0,1842287.0,другой,«12+» для детей старше 12 лет
"SOS, Дед Мороз или Все сбудется!",Mon Oct 12 2015 00:00:00 GMT+0300 (MSK),111019915.0,93888803.1,художественный,«6+» для детей старше шести лет
Superнянь,,121023614.0,170820.0,художественный,«16+» для детей старше 16 лет
Superнянь 2,Thu Mar 12 2015 00:00:00 GMT+0300 (MSK),121023815.0,42532803.3,художественный,«16+» для детей старше 16 лет
The Doors - Live At the Bowl'68. Концерт,,126000713.0,198270.0,другой,«12+» для детей старше 12 лет
А зори здесь тихие...,,111002915.0,249137357.7,художественный,«12+» для детей старше 12 лет
Аватар,,121020109.0,311950.0,художественный,"Зрителям, достигшим 14 лет"
Агенты А.Н.К.Л.,,121015915.0,573298911.4,художественный,«12+» для детей старше 12 лет
Агорафобия,,121025015.0,135945.0,художественный,«18+» запрещено для детей
Амазония: Инструкция по выживанию,Wed Jun 11 2014 00:00:00 GMT+0300 (MSK),126002814.0,90935.0,другой,«0+» для любой зрительской аудитории
Ангелы революции,Mon May 11 2015 00:00:00 GMT+0300 (MSK),111023214.0,808997.0,художественный,«16+» для детей старше 16 лет
Анина,Wed Feb 04 2015 00:00:00 GMT+0300 (MSK),124000715.0,485079.0,анимационный,«6+» для детей старше шести лет
Антураж,,121015715.0,57025019.0,художественный,«18+» запрещено для детей
Аргентина,,126003315.0,24960.0,другой,«6+» для детей старше шести лет
Арктика 3D,,126003112.0,56510.0,другой,«0+» для любой зрительской аудитории
Астерикс: Земля Богов,,124003214.0,2451329.0,анимационный,«6+» для детей старше шести лет
Астрал 3,Mon Apr 06 2015 00:00:00 GMT+0300 (MSK),121010315.0,282604493.0,художественный,«16+» для детей старше 16 лет
Атака титанов. Фильм второй: Конец света,Sat Jan 10 2015 00:00:00 GMT+0300 (MSK),121019815.0,2660658.6,художественный,«16+» для детей старше 16 лет
Атака титанов. Фильм первый: Жестокий мир,Mon Mar 09 2015 00:00:00 GMT+0300 (MSK),121017215.0,17265095.2,художественный,«16+» для детей старше 16 лет
Атлантида Русского Севера,,217004515.0,1811617.5,другой,«12+» для детей старше 12 лет
Бабадук,,121000915.0,23185354.0,художественный,«16+» для детей старше 16 лет
Багровый пик,,121015215.0,294841266.0,художественный,«18+» запрещено для детей
Барашек Шон,,124000815.0,57315035.1,анимационный,«6+» для детей старше шести лет
Бармен,,111009615.0,67418974.8,художественный,«16+» для детей старше 16 лет
Батальонъ,,111000715.0,451808681.7,художественный,«12+» для детей старше 12 лет
Беглец,Mon Mar 09 2015 00:00:00 GMT+0300 (MSK),120018015.0,3067727.5,не определен,«18+» запрещено для детей
Бегущий в лабиринте: Испытание огнём,,121016215.0,484053212.7,художественный,«16+» для детей старше 16 лет
Без границ,,111010315.0,190718854.4,художественный,«12+» для детей старше 12 лет
Безумная свадьба,,121013914.0,2438910.0,художественный,«12+» для детей старше 12 лет
Безумный Макс: Дорога ярости,,121009615.0,649497450.8,художественный,«16+» для детей старше 16 лет
Белый Бог,Wed Dec 02 2015 00:00:00 GMT+0300 (MSK),121001715.0,729737.0,художественный,«18+» запрещено для детей
Бёрдмэн,,121027514.0,97499173.6,художественный,«16+» для детей старше 16 лет
Берцы,Wed Dec 02 2015 00:00:00 GMT+0300 (MSK),111004314.0,55917.5,художественный,«16+» для детей старше 16 лет
Бесславные придурки,Fri Nov 06 2015 00:00:00 GMT+0300 (MSK),111003314.0,20950.0,художественный,«12+» для детей старше 12 лет
Битва за Севастополь,Wed Feb 04 2015 00:00:00 GMT+0300 (MSK),111001415.0,401753191.9,художественный,«12+» для детей старше 12 лет
Блондинка в эфире,Tue Aug 05 2014 00:00:00 GMT+0300 (MSK),121007514.0,2200.0,художественный,«16+» для детей старше 16 лет
Болт и Блип спешат на помощь,Sat Aug 11 2012 00:00:00 GMT+0300 (MSK),124003112.0,31450.0,анимационный,«0+» для любой зрительской аудитории
Большая игра,,121007315.0,14455450.5,художественный,«12+» для детей старше 12 лет
Большие глаза,Sat Aug 01 2015 00:00:00 GMT+0300 (MSK),121025214.0,47165374.6,художественный,«16+» для детей старше 16 лет
Брак за решеткой,,121014215.0,89380.5,художественный,«16+» для детей старше 16 лет
Братья Ч,,111004414.0,232100.0,художественный,«16+» для детей старше 16 лет
