Название в ЕАИС,id,title,title_en,plot,year,countries,tagline,actors,directors,screenwriters,producers,operators,composers,art_direction_by,editing_by,genres,cast,budget,marketing,profit_usa,profit_russia,profit_world,audience,rating,votes,imdb_rating,imdb_votes,runtime,release,posters,trailers,youtube_ids,series,series_years,release_russia,release_world,viewers,budget,age_restr,release_week_rus,release_week_rus_matched_with_google
Миссия невыполнима: Последствия,926540,Миссия невыполнима: Последствия,Mission: Impossible - Fallout,"После того, как агент ЦРУ Итан Хант поймал Соломона Лейна, его последователи, называющие себя «Апостолы» пытаются совершить ядерную катастрофу, заполучив украденный плутоний. Упустив их в Берлине, Итан должен решить, что важнее: жизнь его друзей или жизнь миллиардов?",2018,"США, Китай, Франция, Норвегия, Великобритания",«Когда миссия не оставляет выбора»,"Том Круз, Генри Кавилл, Винг Реймз, Саймон Пегг, Ребекка Фергюсон, Шон Харрис, Анджела Бассетт, Ванесса Кирби, Мишель Монахэн, Уэс Бентли",Кристофер МакКуорри,"Брюс Геллер, Кристофер МакКуорри","Джей Джей Абрамс, Рафаэль Бенолье, Пер Генри Борх",Роберт Харди,Лорн Бэлф,"Питер Венхам, Джилл Кормак, Мэттью Грэй",Эдди Хэмилтон,"боевик, триллер, приключения",{},178000000,None,220159104,8739527,791115104,,7.194,67432,None,None,147,None,,,,FALSE,(),12.7.2018,26.7.2018,None,$178 000 000,None,28-2018,170
Большая игра,976636,Большая игра,Mollys Game,"Молли Блум называли Принцессой покера. Она построила самое дорогое подпольное казино в Голливуде. Каждую минуту здесь шли ва-банк кинозвезды, шейхи, миллиардеры. Большие деньги пахнут кровью. Как выжить, когда за тобой охотится мафия и ФБР?",2017,"США, Канада, Китай",«Deal with her»,"Джессика Честейн, Идрис Эльба, Кевин Костнер, Майкл Сера, Джереми Стронг, Крис ОДауд, Дж.С. МакКензи, Брайан ДАрси Джеймс, Билл Кэмп, Грэм Грин",Аарон Соркин,"Аарон Соркин, Молли Блум","Марк Гордон, Мэтт Джексон, Эми Паскаль",Шарлотта Брюус Кристенсен,Дэниэл Пембертон,"Дэвид Уоско, Брандт Гордон, Сьюзэн Лайолл","Алан Баумгартен, Эллиот Грэхэм, Джош Шеффер","драма, криминал, биография",{},30000000,None,28780744,1464252,59284015,,7.573,63240,None,None,140,None,,,,FALSE,(),8.9.2017,11.1.2018,None,$30 000 000,"зрителям, достигшим 18 лет",36-2017,126
2001 год: Космическая одиссея,380,2001 год: Космическая одиссея,2001: A Space Odyssey,"Экипаж космического корабля «Дискавери» — капитаны Дэйв Боумэн, Фрэнк Пул и их бортовой компьютер HAL 9000 — должны исследовать район галактики и понять, почему инопланетяне следят за Землей. На этом пути их ждет множество неожиданных открытий.",1968,"Великобритания, США",«the time is now. 2001 re-release»,"Кир Дуллеа, Гэри Локвуд, Уильям Сильвестр, Дэниэл Риктер, Леонард Росситер, Маргарет Тайзэк, Роберт Битти, Шон Салливан, Дуглас Рэйн, Фрэнк Миллер",Стэнли Кубрик,"Артур Ч. Кларк, Стэнли Кубрик","Стэнли Кубрик, Виктор Линдон",Джеффри Ансуорт,,"Эрнест Арчер, Гарри Ланж, Энтони Мастерс",Рэй Лавджой,"фантастика, приключения",{},12000000,None,56715371,152691,57287357,,7.963,70758,8.3,570523,149,None,,,,FALSE,(),2.4.1968,30.8.2018,"43.4 млн,      3.26 млн,      2.91 млн, ...",$56 715 371,None,14-1968,#N/A
Омерзительная восьмерка (2015),819101,Омерзительная восьмерка,The Hateful Eight,"США после Гражданской войны. Легендарный охотник за головами Джон Рут по кличке Вешатель конвоирует заключенную. По пути к ним прибиваются еще несколько путешественников. Снежная буря вынуждает компанию искать укрытие в лавке на отшибе, где уже расположилось весьма пестрое общество: генерал конфедератов, мексиканец, ковбой… И один из них — не тот, за кого себя выдает.",2015,США,«Без хорошей причины сюда не лезут»,"Курт Рассел, Сэмюэл Л. Джексон, Тим Рот, Майкл Мэдсен, Дженнифер Джейсон Ли, Уолтон Гоггинс, Демиан Бичир, Брюс Дерн, Джеймс Паркс, Дэна Гурье",Квентин Тарантино,Квентин Тарантино,"Ричард Н. Гладштейн, Шеннон МакИнтош, Стейси Шер",Роберт Ричардсон,Эннио Морриконе,"Ёхэй Танэда, Бенжамин Эдельберг, Ричард Л. Джонсон",Фред Раскин,"вестерн, криминал, триллер, драма, детектив",{},44000000,None,54117416,6307477,155760117,,7.886,254264,None,None,187,None,,,,FALSE,(),7.12.2015,14.1.2016,None,$44 000 000,"зрителям, достигшим 18 лет",50-2015,35
МУЛЬТ в кино. Выпуск № 26,963004,МУЛЬТ в кино. Выпуск No26,,"В 26-м выпуске «МУЛЬТ в кино» Барбоскины сначала немного поссорятся, после чего обязательно помирятся. Кроме того, в новом выпуске многосерийного киножурнала зрители увидят свежие эпизоды мультфильмов «Тима и Тома» (серия «Резонанс»), «Волшебный фонарь» (""Кит по имени Моби Дик»), «Бумажки» (""На всякий бумажный случай»), «Ми-Ми-Мишки» (""По своим правилам»), «Планета Ай» (""Опасная ботаника»), «Аркадий Паровозов спешит на помощь» (""Двери») и «Фиксики» (""Колесо»).",2016,Россия,«Пойдём ещё!»,,"Евгений Головин, Андрей Соколов, Екатерина Салабай",,"Иван Кудрявцев, Татьяна Цыварева",,,,,"мультфильм, детский",{},None,None,None,None,None,,None,None,None,None,47,None,,,,FALSE,(),5.3.2016,5.3.2016,None,None,None,10-2016,48
Движение вверх,840817,Движение вверх,,"Есть победы, которые меняют ход истории. Победы духа, победы страны, победы всего мира. Таким триумфом стали легендарные «три секунды» — выигрыш сборной СССР по баскетболу на роковой мюнхенской Олимпиаде 1972 г. Впервые за 36 лет была повержена «непобедимая» команда США. Никто даже помыслить не мог о том, что это возможно — обыграть великолепных непогрешимых американцев на Олимпийских играх! Никто, кроме советских баскетболистов (русских и грузин, украинцев и казахов, белорусов и литовцев). Когда проигрыш означал поражение страны, когда нужно было выходить и бороться в раскаленной обстановке из-за произошедшего теракта, великий тренер сборной СССР был готов на все, лишь бы помочь своим подопечным разбить американский миф о непотопляемой команде мечты. Ведь он знал, что создал самую сильную сборную на планете, и в начале заставил поверить в это своих игроков, а затем весь мир.",2017,Россия,,"Владимир Машков, Андрей Смоляков, Иван Колесников, Кирилл Зайцев, Джон Сэвэдж, Марат Башаров, Александра Ревенко, Виктория Толстоганова, Сергей Гармаш, Джеймс Тратас",Антон Мегердичев,"Николай Куликов, Андрей Курейчик","Леонид Верещагин, Антон Златопольский, Никита Михалков",Игорь Гринякин,,"Сергей Агин, Сергей Стручев, Олег Колодько","Петр Зеленов, Антон Мегердичев, Вазген Каграманян","спорт, драма",{},None,None,None,53876764,59884129,,7.551,143072,None,None,133,None,,,,FALSE,(),28.12.2017,5.1.2018,12.4 млн,450 000 000 руб.,"зрителям, достигшим 6 лет",52-2017,90
Бегущий в лабиринте: Лекарство от смерти,896631,Бегущий в лабиринте: Лекарство от смерти,Maze Runner: The Death Cure,"Томас возглавляет отряд выживших глейдеров, чтобы выполнить последнюю и самую опасную миссию. Ради спасения своих друзей они должны проникнуть в легендарный Последний город, смертоносный лабиринт, контролируемый ПОРОКом. Каждый, кто выживет там, наконец-то получит ответы на все вопросы, которые мучили глейдеров с момента попадания в лабиринт.",2018,США,«Из каждого лабиринта всегда есть выход»,"Дилан ОБрайен, Ки Хон Ли, Кая Скоделарио, Томас Сэнгстер, Декстер Дарден, Уилл Поултер, Джейкоб Лофленд, Роза Салазар, Джанкарло Эспозито, Патриша Кларксон",Уэс Болл,"Т.С. Наулин, Джеймс Дэшнер","Уэс Болл, Марти Бауэн, Лоренцо Ди Бонавентура",Дьюла Падош,Джон Песано,"Дэниэл Т. Доррэнс, Андреа Борланд, Кристоф Далберг","Пол Харб, Дэн Циммерман","фантастика, боевик, триллер",{},62000000,None,58032443,9341347,288175335,,5.981,41022,None,None,143,None,,,,FALSE,(),17.1.2018,25.1.2018,None,$62 000 000,"зрителям, достигшим 16 лет",3-2018,145
Селфи,897888,Селфи,,"Он полностью копировал его — жесты, мимика, даже шутил так, что никто не заподозрил подмены. Богданов смотрел в экран, как в зеркало. Двойник вел его телепередачу, встречался с его фанатами-читателями, жил с его женщинами, выпивал в баре с его друзьями… Это произошло вмиг — раз — тебя стерли, твою личность, и тут бессильны лучшие психоаналитики. Публичный и успешный, остроумный и циничный, Богданов лишился всего, чего добивался годами, выстраивая свою карьеру и жизнь. И теперь он отчетливо понимал: копия лучше и честнее его самого, битва за себя проиграна. И только дочь хочет вернуть истинного Богданова…",2017,Россия,,"Константин Хабенский, Юлия Хлынина, Фёдор Бондарчук, Анна Михалкова, Северия Янушаускайте, Михаил Мухтасипов, Александра Велескевич, Сергей Бондаренко, Андрей Гринев, Марина Калецкая",Николай Хомерики,Сергей Минаев,"Петр Ануров, Фёдор Бондарчук, Дмитрий Рудовский",Владислав Опельянц,Игорь Вдовин,"Василий Распопов, Татьяна Долматовская",Руслан Габдрахманов,"триллер, драма",{},None,None,None,4139280,4112881,,5.791,20771,None,None,112,None,,,,FALSE,(),2.2.2018,1.2.2018,907.1 тыс.,115 000 000 руб.,None,5-2018,147
Пятьдесят оттенков свободы,893488,Пятьдесят оттенков свободы,Fifty Shades Freed,"Кристиан и Анастейша поженились и живут в своё удовольствие, наслаждаясь обществом друг друга. Однако жизнь новоиспечённой миссис Грей находится в опасности, поскольку объявляется недруг, который собирается мстить, используя свою богатую фантазию. Призраки прошлого Кристиана вновь вернулись, а тучи над супругами сгущаются всё сильнее.",2018,США,«Миссис Грей ждёт вас»,"Дакота Джонсон, Джейми Дорнан, Эрик Джонсон, Элоиза Мамфорд, Рита Ора, Люк Граймс, Виктор Расук, Макс Мартини, Дженнифер Эль, Марша Гей Харден",Джеймс Фоули,"Ниал Леонард, Э.Л. Джеймс","Дэна Брунетти, Майкл Де Лука, Э.Л. Джеймс",Джон Шварцман,Дэнни Элфман,"Нельсон Коутс, Питер Боднарус, Крэйг Хемфрис","Дэвид С. Кларк, Ричард Фрэнсис-Брюс, Дебра Нил Фишер","триллер, драма, мелодрама",{},55000000,None,100407760,13530787,371985018,,5.317,30511,None,None,105,None,,,,FALSE,(),6.2.2018,8.2.2018,None,$55 000 000,None,6-2018,148
Лёд,900052,Лёд,,"С самого детства Надя верила в чудеса. Она представляла себе, как выходит на лёд под овации публики и танцует свой самый красивый танец. И вот, благодаря вере и упорству, Надя становится знаменитой фигуристкой. Но когда ее мечты о громких победах, красивой жизни и прекрасном принце уже, кажется, готовы исполниться, судьба преподносит ей настоящее испытание. И чтобы его пройти, нужно будет снова, как в детстве, поверить в мечту. Ведь, может быть, победа не всегда должна быть громкой, а прекрасный принц не обязательно передвигается на белом коне?..",2017,Россия,«Весна близко»,"Аглая Тарасова, Диана Енакаева, Мария Аронова, Александр Петров, Милош Бикович, Ян Цапник, Ксения Раппопорт, Ксения Лаврова-Глинка, Павел Майков, Максим Белбородов",Олег Трофим,"Андрей Золотарев, Олег Маловичко","Фёдор Бондарчук, Дмитрий Рудовский, Александр Андрющенко",Михаил Милашин,"Антон Беляев, Дмитрий Селипанов","Жанна Пахомова, Дарья Зонова",Александр Андрющенко,"мелодрама, драма, спорт",{},None,None,None,26065491,29806210,,6.746,53722,None,None,113,None,,,,FALSE,(),14.2.2018,14.2.2018,6.35 млн,150 000 000 руб.,None,7-2018,149
