Общий викенд,Викенд в месяце,Месяц,Даты,Дней в викенде,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Январь,с 04 янв. 2018 по 07 янв. 2018,3,Фильм,Движение вверх,Джуманджи: Зов джунглей,Три богатыря и принцесса Египта,Величайший шоумен,Ёлки Новые,Фердинанд,Звёздные войны: Последние джедаи,Чудо-юдо,Праздничный переполох,МУЛЬТ в кино. Выпуск № 66,День мертвецов: Злая кровь,Тайна Коко. Олаф и холодное приключение,Тайная жизнь насекомых,"Убийство в ""Восточном экспрессе""","Ван Гог. С любовью, Винсент",Добро пожаловать на юг - 2 или Соседям вход запрещен!,Легенда о Коловрате,Мой любимый динозавр,Петсон и Финдус. Маленький мучитель - большая дружба,Молодая женщина,,,,,,,
1,1,Январь,с 04 янв. 2018 по 07 янв. 2018,3,Сборы,"648,152,700","274,869,805","249,281,125","230,254,658","181,421,012","138,153,563","43,594,694","22,555,860","15,072,110","3,816,973","3,532,575","2,022,416","1,124,723","925,700","872,266","854,833","846,378","750,851","645,208","610,973",,,,,,,
1,1,Январь,с 04 янв. 2018 по 07 янв. 2018,3,Зрители,"2,370,607","955,470","1,093,005","783,898","681,609","582,979","137,193","104,705","45,220","30,896","12,487","7,583","4,907","2,949","3,459","3,002","3,528","3,830","1,968","2,268",,,,,,,
1,1,Январь,с 04 янв. 2018 по 07 янв. 2018,3,Сеансы,"29,624","13,698","22,403","27,016","14,972","10,070","3,785","6,692","1,761","1,377",384,141,375,55,101,254,121,384,14,124,,,,,,,
1,1,Январь,с 04 янв. 2018 по 07 янв. 2018,3,Сборы за сеанс,"21,879","20,066","11,127","8,522","12,117","13,719","11,517","3,370","8,558","2,771","9,199","14,343","2,999","16,830","8,636","3,365","6,994","1,955","46,086","4,927",,,,,,,
1,1,Январь,с 04 янв. 2018 по 07 янв. 2018,3,Среднее количество зрителей,80,69,48,29,45,57,36,15,25,22,32,53,13,53,34,11,29,9,140,18,,,,,,,
2,2,Январь,с 11 янв. 2018 по 14 янв. 2018,3,Фильм,Движение вверх,Джуманджи: Зов джунглей,Величайший шоумен,Астрал 4: Последний ключ,"Кто наш папа, чувак?",Три богатыря и принцесса Египта,Фердинанд,Большая игра,Ёлки Новые,Бойся своих желаний,Всё только начинается,Сламбер: Лабиринты сна,Звёздные войны: Последние джедаи,Чудо-юдо,Бахубали: Рождение легенды,Праздничный переполох,Тайная жизнь насекомых,Тёмные времена,МУЛЬТ в кино. Выпуск № 66,Последний портрет,,,,,,,
2,2,Январь,с 11 янв. 2018 по 14 янв. 2018,3,Сборы,"370,222,147","72,401,787","61,218,867","52,827,953","46,912,762","41,721,334","33,810,009","29,233,310","20,542,166","19,741,300","12,094,439","10,850,186","7,425,281","3,897,960","3,247,008","3,175,379","2,913,527","2,798,917","1,484,451","1,361,565",,,,,,,
2,2,Январь,с 11 янв. 2018 по 14 янв. 2018,3,Зрители,"1,464,017","271,243","222,713","185,532","175,554","208,070","156,489","86,829","82,780","76,105","42,599","41,839","22,146","21,666","12,121","10,404","13,630","7,377","12,178","3,950",,,,,,,
2,2,Январь,с 11 янв. 2018 по 14 янв. 2018,3,Сеансы,"24,663","8,456","14,017","3,097","13,992","11,478","5,660","4,601","4,981","4,944","4,687","3,614","1,166","2,570","1,164",919,"1,507",499,954,320,,,,,,,
2,2,Январь,с 11 янв. 2018 по 14 янв. 2018,3,Сборы за сеанс,"15,011","8,562","4,367","17,057","3,352","3,634","5,973","6,353","4,124","3,992","2,580","3,002","6,368","1,516","2,789","3,455","1,933","5,609","1,556","4,254",,,,,,,
2,2,Январь,с 11 янв. 2018 по 14 янв. 2018,3,Среднее количество зрителей,59,32,15,59,12,18,27,18,16,15,9,11,18,8,10,11,9,14,12,12,,,,,,,
3,3,Январь,с 18 янв. 2018 по 21 янв. 2018,3,Фильм,Движение вверх,Астрал 4: Последний ключ,Приключения Паддингтона 2,Форма воды,Скиф,Джуманджи: Зов джунглей,Величайший шоумен,Большая игра,Три богатыря и принцесса Египта,"Кто наш папа, чувак?",Фердинанд,Тёмные времена,Бойся своих желаний,Карп отмороженный,МУЛЬТ в кино. Выпуск № 67,Ёлки Новые,Сламбер: Лабиринты сна,Звёздные войны: Последние джедаи,Всё только начинается,Тор: Рагнарёк,,,,,,,
3,3,Январь,с 18 янв. 2018 по 21 янв. 2018,3,Сборы,"333,547,952","148,889,178","77,058,986","46,718,678","34,611,639","30,778,728","21,959,914","16,908,110","16,122,019","15,180,196","15,035,403","11,872,802","4,947,928","3,868,099","2,704,502","2,491,736","2,394,954","2,220,210","2,165,310","1,483,117",,,,,,,
3,3,Январь,с 18 янв. 2018 по 21 янв. 2018,3,Зрители,"1,338,348","561,469","285,769","156,390","134,599","115,402","81,267","46,043","84,794","61,079","71,615","35,666","21,805","15,590","22,420","11,914","10,019","7,575","8,482","4,236",,,,,,,
3,3,Январь,с 18 янв. 2018 по 21 янв. 2018,3,Сеансы,"24,066","18,878","9,988","7,330","13,145","4,145","4,381","2,041","5,492","5,313","2,792","2,663","1,882","1,391","1,272",867,"1,234",447,"1,127",151,,,,,,,
