title_uais,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Т-34,514346,643238,769230,672771,918840,887759,727747,834265,951454,2023445,13024379,5730015,2859777,1901947,3047456,915696,717975,640166,547961,587377,535490,582539,672032,634951
Полицейский с рублевки. Новогодний беспредел,0,0,0,0,0,0,11330,13326,17970,1700360,6679225,4667807,3298372,1813337,1862639,671499,475149,484703,308895,358254,505547,2820196,3315380,1644118
Ёлки Последние,2284,1192,1013,708,883,785,2089,6463,22800,460707,1325322,461124,165402,49584,35673,28494,26852,23045,15469,29295,48100,207131,115812,14709
Гринч,192315,128996,113501,43593,67718,64454,92357,112369,229812,2920413,3060832,1168690,704552,393819,351536,442031,226498,183669,145061,187884,328934,1162146,701892,215577
Три богатыря и наследница престола,2369,4026,13548,76605,120806,83613,109182,164714,203049,643573,1915886,1011318,495546,263180,324241,240865,165988,144090,118155,138757,209450,180438,185723,106988
Аквамен,293435,334774,361079,433880,679647,764554,642122,811691,763111,3961933,4277672,2471084,2087749,1101710,1005000,862347,745739,778315,563218,520043,541168,434011,519328,404215
Мэри Поппинс возвращается,4354,2786,3209,4328,4300,5379,7121,7076,9034,45823,266712,112808,157280,118173,108480,103730,90433,61339,50260,49200,48738,46298,47539,32408
Снежная Королева: Зазеркалье,218,153,281,392,2327,4639,10318,21661,17310,37315,331322,169642,96067,42455,55953,69995,52492,44923,37556,45353,61515,69400,51116,29709
Бамблби,64052,54015,70992,155809,80834,76836,142335,138902,196480,2012665,2309450,1472753,927170,554405,439131,320133,265005,312705,247190,187712,186361,266719,231585,190861
Щелкунчик и четыре королевства,12149,9642,8226,11298,16094,27482,26043,33339,130535,924614,648498,427443,163091,77826,66918,70251,55336,42674,27338,35427,47698,98133,69316,27624
Человек-паук: Через вселенные,32752,32248,39234,77617,74280,86344,94580,180372,141911,1136162,1192689,1227898,1023275,475616,404477,378478,359739,240482,158872,220837,166451,126873,130118,139164
Жил-был Дэдпул,220,174,675,393,257,421,323,376,8436,40516,410127,263888,205450,118253,127391,138187,121162,98384,84348,75277,74312,66921,61750,26547
Богемская рапсодия,4301,4265,24880,11831,15316,13487,22712,303568,2309714,1214119,1390518,1174409,933095,439702,333808,266045,246681,238099,203738,190236,189567,185086,373714,211295
Хроники хищных городов,30168,23770,26899,40392,64436,165191,116755,137903,304149,1981660,2384939,1545384,638685,326682,255268,224847,179629,156631,113424,111779,147254,90199,91808,97114
"Дом, который построил Джек",22418,38121,93631,40938,28776,27092,41466,53194,86956,715659,860481,437525,385230,258574,202577,158946,130973,103445,109666,138884,136666,117011,119901,106564
Пирсинг,313669,272591,281934,287694,303011,312533,278779,313040,288465,303350,405435,328352,343972,323579,325010,326186,369277,372973,335916,404540,423783,422521,494890,419576
Унесенные призраками,145747,112194,102377,127778,117981,120963,91674,158752,118095,186719,227746,198320,179643,122243,131607,123265,179311,142380,106985,153294,118989,105564,133275,150088
МУЛЬТ в кино. Выпуск № 88,0,0,0,6,0,5,9,5,9,375,6202,6687,8330,5154,7340,7729,4593,3102,2414,2080,2199,1554,631,336
Фантастические твари: Преступления Грин-де-Вальда,49184,63026,155742,165648,314265,228379,190731,242074,1159616,1726973,1332751,703040,501313,397480,268230,206111,165314,174101,178484,159008,144257,114090,250200,105929
МУЛЬТ в кино. Выпуск № 87,0,0,0,0,0,0,0,0,0,0,1299,1037,455,273,239,133,204,151,96,107,95,74,49,25
Крид-2,399391,123001,74310,71049,75074,68890,78242,103409,109861,189518,826156,717277,464587,257577,221177,227956,192177,142813,122593,122465,142230,132700,121184,97950
Путь домой,68478,55285,54136,50541,82560,66078,105318,83819,69190,127653,569113,356442,354145,309720,261609,218549,234345,221968,169546,153376,151140,149803,187712,165435
