Название в ЕАИС,pr_week - 8,pr_week - 7,pr_week - 6,pr_week - 5,pr_week - 4,pr_week - 3,pr_week - 2,pr_week - 1,pr_week
Движение вверх,1.0,1.0,1.0,1.0,2.0,1.0,3.0,17.0,100.0
Бегущий в лабиринте: Лекарство от смерти,2.0,1.0,3.0,5.0,2.0,11.0,11.0,17.0,74.0
Селфи,29.0,32.0,32.0,36.0,32.0,28.0,40.0,88.0,100.0
Пятьдесят оттенков свободы,3.0,4.0,6.0,8.0,8.0,11.0,17.0,84.0,100.0
Лёд,13.0,13.0,12.0,11.0,13.0,11.0,16.0,41.0,52.0
Чёрная пантера,3.0,3.0,3.0,4.0,5.0,6.0,5.0,15.0,18.0
Я худею,3.0,3.0,6.0,8.0,6.0,6.0,62.0,81.0,76.0
Tomb Raider: Лара Крофт,0.0,2.0,6.0,4.0,6.0,0.0,15.0,2.0,19.0
Тихоокеанский рубеж 2,5.0,6.0,7.0,10.0,10.0,16.0,21.0,84.0,100.0
Первому игроку приготовиться,2.0,4.0,2.0,3.0,2.0,4.0,5.0,6.0,22.0
Гоголь. Вий,59.0,25.0,25.0,21.0,19.0,23.0,8.0,8.0,16.0
Рэмпейдж,4.0,4.0,6.0,5.0,4.0,7.0,12.0,70.0,100.0
Тренер,26.0,17.0,21.0,20.0,20.0,25.0,30.0,60.0,73.0
Мстители: Война бесконечности,4.0,7.0,7.0,6.0,5.0,6.0,8.0,31.0,92.0
Дэдпул 2,4.0,7.0,6.0,5.0,6.0,8.0,8.0,12.0,18.0
Мир Юрского периода 2,3.0,2.0,5.0,6.0,5.0,6.0,8.0,14.0,29.0
Суперсемейка 2 / Бао,4.0,2.0,3.0,4.0,4.0,5.0,10.0,25.0,81.0
Человек-муравей и Оса,3.0,8.0,5.0,4.0,6.0,8.0,10.0,14.0,72.0
Монстры на каникулах 3: Море зовёт,0.0,2.0,0.0,0.0,0.0,2.0,5.0,4.0,4.0
Миссия невыполнима: Последствия,4.0,3.0,3.0,2.0,0.0,6.0,7.0,6.0,13.0
Мег: Монстр глубины,1.0,2.0,2.0,2.0,3.0,7.0,16.0,70.0,100.0
Альфа,63.0,63.0,66.0,69.0,66.0,68.0,66.0,73.0,100.0
Гоголь. Страшная месть,5.0,0.0,5.0,3.0,2.0,75.0,87.0,100.0,75.0
